Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Peak_Gene_Prob	TFs(prob, activator_repressor [L,B])
SLC5A8	chr11	101019340	chr11	100900809	100901310	0.8388	HDX (0.92, - [-,+]), ARID3A (0.87, + [-,-]), 
ZNF804A	chr12	71683952	chr12	72606778	72607279	0.8144	ZNF557 (1.00, - [-,+]), ZNF384 (1.00, - [-,+]), ZNF649 (0.70, - [-,+]), 
STAT4	chr12	78377069	chr12	78256918	78257419	0.8106	ZNF613 (1.00, + [+,+]), ZFP28 (0.84, + [+,+]), ZNF22 (0.73, + [+,+]), 
OBSL1	chr12	107002400	chr12	106915617	106916118	0.838	ZNF557 (0.77, + [-,-]), 
DOCK10	chr12	112486193	chr12	112427570	112428071	0.8816	ZNF658 (0.80, - [+,-]), ZNF786 (0.78, + [+,+]), 
NDUFA10	chr12	127426773	chr12	127509213	127509714	0.8194	ZNF860 (0.99, + [-,-]), ZNF766 (0.98, + [-,-]), ZSCAN30 (0.96, - [-,+]), 
SH3RF3	chr13	12813130	chr13	13056298	13056799	0.7744	ZNF169 (0.95, + [+,+]), 
SH3RF3	chr13	12813130	chr13	13191480	13191981	0.859	VEZF1 (0.87, + [+,+]), ZNF530 (0.71, - [+,-]), 
SPRED2	chr13	43305723	chr13	43430392	43430893	0.7788	ZNF766 (0.94, + [+,+]), 
BCL11A	chr13	48273395	chr13	48155578	48156079	0.9508	ZNF341 (0.92, + [+,+]), ZNF124 (0.78, + [+,+]), 
BCL11A	chr13	48273395	chr13	48273374	48273875	0.9458	BCL11A (0.98, + [+,+]), ZNF467 (0.98, - [+,-]), ZNF180 (0.93, + [+,+]), ZNF219 (0.92, + [+,+]), ZNF786 (0.92, - [+,-]), ZNF398 (0.90, - [+,-]), ZNF444 (0.90, + [+,+]), ZNF658 (0.87, + [+,+]), MAZ (0.85, + [+,+]), ETS2 (0.83, + [+,+]), ZBTB17 (0.79, - [+,-]), ZNF132 (0.79, + [+,+]), ZNF22 (0.77, + [+,+]), ZNF341 (0.76, + [+,+]), ZNF596 (0.75, + [+,+]), 
CAMKMT	chr13	64420697	chr13	64637318	64637819	0.818	ZNF484 (0.87, + [+,+]), PRDM9 (0.78, + [+,+]), 
SRSF7	chr13	70153033	chr13	70041206	70041707	0.8352	ZNF169 (0.95, - [-,+]), 
SRSF7	chr13	70153033	chr13	70060670	70061171	0.7822	SMAD1 (0.89, + [+,+]), ZNF649 (0.81, - [+,-]), 
GALNT14	chr13	77756608	chr13	77811481	77811982	0.8372	ZNF354C (0.73, + [+,+]), 
GREB1	chr13	97229337	chr13	97288673	97289174	0.8518	RBAK (0.96, - [+,-]), GTF2I (0.95, + [+,+]), ZNF169 (0.94, + [+,+]), ZNF768 (0.94, + [+,+]), 
RASGRP2	chr14	9797772	chr14	9961809	9962310	0.9936	ZBTB17 (0.96, - [-,+]), MZF1 (0.83, + [-,-]), 
SYT7	chr14	12590063	chr14	12645885	12646386	0.7422	ZNF121 (1.00, - [+,-]), ZNF467 (0.99, - [+,-]), ZNF124 (0.95, + [+,+]), ZNF770 (0.94, + [+,+]), ZNF786 (0.92, - [+,-]), ZNF84 (0.83, - [+,-]), ZNF197 (0.70, - [+,-]), 
LRRC4C	chr14	25330612	chr14	25435707	25436208	0.8448	ZNF530 (0.96, - [-,+]), ZNF182 (0.95, - [-,+]), CPEB1 (0.88, + [-,-]), ZNF484 (0.78, - [-,+]), 
EIF4G2	chr14	54864899	chr14	54894978	54895479	0.7816	ZNF394 (0.75, + [+,+]), 
FAT3	chr14	85497699	chr14	84789287	84789788	0.7084	TBPL2 (0.83, - [+,-]), 
MAML2	chr14	89581955	chr14	89442115	89442616	0.9574	ARID3A (1.00, - [+,-]), ZNF124 (0.93, + [+,+]), ZNF22 (0.84, + [+,+]), TBPL2 (0.82, - [+,-]), ZNF197 (0.75, - [+,-]), 
DDX10	chr14	101899001	chr14	101788536	101789037	0.859	ZNF205 (0.95, - [+,-]), ZNF649 (0.79, - [+,-]), 
FDX1	chr14	103601908	chr14	103550013	103550514	0.744	ZNF169 (0.86, - [+,-]), ZNF770 (0.79, + [+,+]), 
KIRREL3	chr14	119774015	chr14	119275542	119276043	0.837	ZNF846 (0.97, + [+,+]), IRF2 (0.86, + [+,+]), ZNF398 (0.80, + [+,+]), STAT2 (0.78, + [+,+]), 
KIRREL3	chr14	119774015	chr14	119401508	119402009	0.9532	ZNF354C (0.93, - [+,-]), ZNF786 (0.93, + [+,+]), ZBTB17 (0.89, + [+,+]), ZNF71 (0.74, + [+,+]), ZNF197 (0.72, + [+,+]), PRDM6 (0.70, + [+,+]), 
KIRREL3	chr14	119774015	chr14	119527092	119527593	0.8234	HLX (0.98, - [+,-]), ARID3A (0.82, - [+,-]), 
KIRREL3	chr14	119774015	chr14	119539140	119539641	0.8598	ZNF467 (0.99, + [+,+]), ZNF205 (0.99, + [+,+]), ZBTB17 (0.92, + [+,+]), VEZF1 (0.91, + [+,+]), ZNF22 (0.90, + [+,+]), ZNF398 (0.89, + [+,+]), ZNF341 (0.75, - [+,-]), ZNF484 (0.72, + [+,+]), 
KIRREL3	chr14	119774015	chr14	119685368	119685869	0.8068	ZNF467 (1.00, + [+,+]), ZBTB17 (1.00, + [+,+]), ZNF71 (0.99, + [+,+]), MAZ (0.97, - [+,-]), ZNF26 (0.89, + [+,+]), VEZF1 (0.86, + [+,+]), ARID3A (0.85, + [+,+]), ZFP28 (0.73, - [+,-]), 
RPL7A	chr15	4910150	chr15	4978513	4979014	0.761	KLF2 (0.85, - [-,+]), ZNF846 (0.82, - [-,+]), 
ABCA1	chr15	37954746	chr15	37753255	37753756	0.7382	ZNF860 (0.94, + [-,-]), ZNF766 (0.89, - [-,+]), ZNF22 (0.79, - [-,+]), 
TMEFF1	chr15	42333899	chr15	42479683	42480184	0.8098	ARID3A (0.99, - [+,-]), ZNF169 (0.72, - [+,-]), 
DNAJA1	chr15	50859835	chr15	50841235	50841736	0.9408	ZNF786 (0.72, - [-,+]), 
SLC24A2	chr15	63856732	chr15	63868600	63869101	0.8702	ARID3A (1.00, - [+,-]), 
SLC24A2	chr15	63856732	chr15	64062731	64063232	0.8174	ZNF384 (1.00, - [+,-]), ZNF467 (1.00, - [+,-]), ZNF530 (0.99, + [+,+]), ZNF341 (0.98, + [+,+]), IRF2 (0.98, + [+,+]), ZNF169 (0.96, + [+,+]), ZNF124 (0.91, + [+,+]), ZNF613 (0.87, - [+,-]), 
CEMIP2	chr15	87190134	chr15	87166831	87167332	0.7014	ZNF613 (0.95, - [+,-]), 
PCSK5	chr15	91310278	chr15	91376776	91377277	0.9136	ZNF22 (1.00, + [+,+]), ZNF649 (0.88, + [+,+]), PRDM6 (0.84, - [+,-]), ZKSCAN2 (0.79, + [+,+]), 
NXN	chr16	812901	chr16	889837	890338	0.7206	ZNF467 (0.97, + [-,-]), GTF2I (0.90, + [-,-]), ZNF557 (0.81, + [-,-]), SALL4 (0.73, + [-,-]), 
UBB	chr16	16008876	chr16	15966616	15967117	0.8486	ZNF786 (0.98, + [+,+]), SALL2 (0.97, + [+,+]), ZNF394 (0.97, + [+,+]), ZNF341 (0.90, - [+,-]), VEZF1 (0.82, + [+,+]), 
SLC39A11	chr16	69405617	chr16	69406466	69406967	0.8912	ETS2 (0.93, + [+,+]), ZSCAN30 (0.84, - [+,-]), ZNF766 (0.73, - [+,-]), 
MIPEP	chr17	3779176	chr17	3618500	3619001	0.7876	ZNF384 (0.99, + [-,-]), ZNF202 (0.95, - [-,+]), HDX (0.90, - [-,+]), 
GPALPP1	chr17	23534844	chr17	23603306	23603807	0.739	ZNF484 (1.00, + [-,-]), ZNF169 (0.99, + [-,-]), ZNF219 (0.98, - [-,+]), ZNF649 (0.84, + [-,-]), ZNF467 (0.80, - [-,+]), 
B4GALT6	chr18	50808419	chr18	50929828	50930329	0.8798	ARID3A (1.00, - [+,-]), ZNF786 (0.82, - [+,-]), ZNF77 (0.80, - [+,-]), 
GREB1L	chr18	61054399	chr18	61115489	61115990	0.8692	IKZF2 (0.74, + [+,+]), 
GREB1L	chr18	61054399	chr18	61192120	61192621	0.9798	PRDM9 (0.98, - [+,-]), MAZ (0.90, + [+,+]), ZNF180 (0.80, + [+,+]), 
MTCL1	chr18	69679819	chr18	69756022	69756523	0.883	ZNF860 (0.79, - [+,-]), 
CCL25	chr19	7928434	chr19	7962283	7962784	0.9776	ZNF263 (0.84, + [-,-]), KLF2 (0.83, - [-,+]), ZNF202 (0.78, - [-,+]), ZNF530 (0.77, + [-,-]), ZNF467 (0.76, + [-,-]), ZNF394 (0.73, - [-,+]), 
NFIX	chr19	12563424	chr19	12616112	12616613	0.9976	ZNF132 (1.00, + [+,+]), ZNF658 (0.98, - [+,-]), ZBTB17 (0.90, + [+,+]), ZNF444 (0.83, + [+,+]), ZNF263 (0.83, + [+,+]), VEZF1 (0.82, + [+,+]), ZNF823 (0.74, - [+,-]), ZNF202 (0.72, + [+,+]), 
TMEM59L	chr19	18155702	chr19	18224678	18225179	0.7754	MZF1 (0.98, + [-,-]), ZNF596 (0.98, + [-,-]), ZNF180 (0.96, + [-,-]), MAZ (0.95, - [-,+]), ZNF557 (0.92, + [-,-]), SALL2 (0.90, - [-,+]), ZNF658 (0.89, - [-,+]), ZNF394 (0.89, - [-,+]), ZNF132 (0.83, + [-,-]), ZNF768 (0.80, - [-,+]), VEZF1 (0.76, - [-,+]), ZNF860 (0.73, + [-,-]), 
TMEM59L	chr19	18155702	chr19	18419008	18419509	0.9296	ARID3A (1.00, + [-,-]), ZFP28 (1.00, - [-,+]), ZNF22 (0.98, - [-,+]), TBPL2 (0.90, + [-,-]), HOXC5 (0.86, + [-,-]), 
ZFP14	chr19	35775159	chr19	35993426	35993927	0.9688	ZNF202 (0.85, - [+,-]), ZNF770 (0.76, - [+,-]), SALL2 (0.76, - [+,-]), 
ZNF567	chr19	36088529	chr19	35993426	35993927	0.94	ZNF202 (0.85, - [+,-]), ZNF770 (0.76, - [+,-]), SALL2 (0.76, - [+,-]), 
ZNF567	chr19	36088529	chr19	36823298	36823799	0.752	ZNF649 (0.98, + [-,-]), 
ZFP30	chr19	36911553	chr19	36828144	36828645	0.81	ZNF658 (1.00, - [+,-]), ZNF354C (1.00, + [+,+]), 
ZNF567	chr19	36088529	chr19	36828144	36828645	0.8286	ZNF658 (1.00, - [+,-]), ZNF354C (1.00, + [+,+]), 
HSPBP1	chr19	55027511	chr19	54987726	54988227	0.748	ZNF805 (1.00, - [+,-]), ZNF132 (1.00, - [+,-]), ZNF774 (0.95, + [+,+]), SALL2 (0.92, + [+,+]), ZNF846 (0.81, - [+,-]), 
ARPP21	chr2	12112162	chr2	11952237	11952738	0.855	ARID3A (1.00, - [+,-]), ZNF132 (0.97, + [+,+]), 
ARPP21	chr2	12112162	chr2	12019989	12020490	0.9996	ZNF484 (0.89, + [+,+]), ZNF205 (0.78, + [+,+]), ZNF354C (0.74, - [+,-]), 
CMTM8	chr2	15473496	chr2	15443439	15443940	0.9104	ZNF467 (1.00, - [+,-]), RBAK (1.00, + [+,+]), PRDM6 (0.90, + [+,+]), ZNF557 (0.89, + [+,+]), CPEB1 (0.86, + [+,+]), ZBTB17 (0.73, - [+,-]), 
SATB1	chr2	29263972	chr2	28800571	28801072	0.8806	ZNF219 (1.00, - [+,-]), ZNF805 (1.00, + [+,+]), VEZF1 (0.98, - [+,-]), ZNF823 (0.96, + [+,+]), ZNF77 (0.86, + [+,+]), ZNF774 (0.84, + [+,+]), 
NLGN1	chr2	78598877	chr2	79040831	79041332	0.744	ZNF121 (0.81, + [+,+]), ZNF613 (0.78, + [+,+]), 
KCNMB2	chr2	83939793	chr2	83842385	83842886	0.8874	ARID3A (0.92, + [+,+]), 
ITPR1	chr2	135800564	chr2	135835580	135836081	0.8648	ZNF121 (0.99, - [+,-]), FOXI3 (0.88, + [+,+]), 
GRM7	chr2	138216903	chr2	138169109	138169610	0.7762	PRDM6 (0.92, + [+,+]), PRDM9 (0.72, - [+,-]), ZNF649 (0.72, - [+,-]), 
GRM7	chr2	138216903	chr2	138447808	138448309	0.7268	ZNF197 (1.00, - [+,-]), ARID3A (1.00, - [+,-]), ZNF22 (1.00, + [+,+]), ZNF649 (0.80, + [+,+]), 
HEG1	chr2	151269521	chr2	151177288	151177789	0.9276	TCF12 (1.00, - [+,-]), ZNF205 (1.00, + [+,+]), CPEB1 (0.75, + [+,+]), 
MYLK	chr2	152480874	chr2	152426936	152427437	0.9998	ZNF846 (0.98, - [+,-]), ZNF467 (0.96, - [+,-]), ZNF786 (0.75, + [+,+]), ZBTB17 (0.72, + [+,+]), 
MYLK	chr2	152480874	chr2	152427471	152427972	0.9744	ZNF786 (0.97, + [+,+]), ZNF846 (0.90, - [+,-]), ZNF22 (0.90, + [+,+]), 
MYLK	chr2	152480874	chr2	152428437	152428938	0.987	ETS2 (1.00, + [+,+]), SALL2 (0.99, + [+,+]), ZNF22 (0.78, + [+,+]), ZNF169 (0.76, - [+,-]), ZSCAN30 (0.74, - [+,-]), 
GAP43	chr2	160644116	chr2	160978563	160979064	0.8672	HDX (0.91, + [+,+]), 
SYT17	chr20	17999651	chr20	17894503	17895004	0.9728	SALL2 (0.86, + [+,+]), 
TERB1	chr20	53977954	chr20	53875034	53875535	0.8558	GTF2I (1.00, - [+,-]), ZNF84 (0.99, - [+,-]), SMAD1 (0.88, + [+,+]), 
TERB1	chr20	53977954	chr20	54019582	54020083	0.8076	ZNF341 (0.81, - [+,-]), 
HUNK	chr3	14638316	chr3	14539347	14539848	0.9032	ZNF770 (1.00, + [+,+]), FOXI3 (1.00, + [+,+]), ZNF22 (1.00, + [+,+]), ZNF846 (0.92, - [+,-]), ZNF121 (0.91, - [+,-]), ZNF354C (0.85, - [+,-]), PRDM6 (0.83, + [+,+]), 
HUNK	chr3	14638316	chr3	14635805	14636306	0.9476	ZNF467 (0.95, - [+,-]), ZNF613 (0.93, - [+,-]), 
SDK1	chr3	36418478	chr3	37143316	37143817	0.7274	ZNF181 (0.76, + [+,+]), 
SDK1	chr3	36418478	chr3	37193258	37193759	0.7808	ARID3A (1.00, - [+,-]), ZNF649 (0.92, + [+,+]), ZNF557 (0.70, + [+,+]), 
SDK1	chr3	36418478	chr3	37266067	37266568	0.8234	ZNF484 (1.00, + [+,+]), ZNF774 (0.99, + [+,+]), ZNF860 (0.97, + [+,+]), ZNF354C (0.80, - [+,-]), 
GTF2IRD1	chr3	46819056	chr3	46820474	46820975	0.7848	ZNF281 (0.97, - [-,+]), SALL2 (0.95, - [-,+]), MAZ (0.94, - [-,+]), 
VKORC1L1	chr3	54050206	chr3	53952804	53953305	0.8142	ZNF384 (1.00, - [+,-]), ZNF398 (1.00, + [+,+]), PRDM6 (1.00, + [+,+]), ZFP28 (0.99, + [+,+]), ZNF22 (0.88, - [+,-]), ZNF202 (0.88, - [+,-]), 
COBL	chr3	63977612	chr3	64004602	64005103	0.947	STAT2 (0.97, + [+,+]), ZNF121 (0.88, + [+,+]), ZNF823 (0.77, - [+,-]), 
COA1	chr3	71304474	chr3	71504477	71504978	0.7034	ZNF354C (1.00, - [+,-]), ZNF770 (1.00, + [+,+]), ZNF121 (0.98, - [+,-]), ZNF786 (0.94, - [+,-]), 
CHN2	chr3	85902973	chr3	85678808	85679309	0.8404	ZNF557 (1.00, - [+,-]), 
CHN2	chr3	85902973	chr3	85907639	85908140	0.9484	ZNF180 (1.00, - [+,-]), RBAK (0.94, - [+,-]), PRDM9 (0.89, + [+,+]), 
RAPGEF5	chr3	92693037	chr3	92970379	92970880	0.9354	ZSCAN30 (0.98, - [+,-]), ZNF281 (0.92, + [+,+]), ZNF394 (0.91, + [+,+]), ARID3A (0.73, - [+,-]), MZF1 (0.70, - [+,-]), 
NXPH1	chr3	106811266	chr3	106812291	106812792	0.8644	ZNF860 (0.79, - [+,-]), ZNF121 (0.75, - [+,-]), ZNF846 (0.71, - [+,-]), 
CFAP69	chr3	115826731	chr3	115936641	115937142	0.7148	ZNF774 (0.99, - [-,+]), ZNF398 (0.81, + [-,-]), 
DOCK4	chr3	138474715	chr3	138320673	138321174	0.724	ARID3A (1.00, - [+,-]), ZNF596 (1.00, + [+,+]), ZNF22 (0.98, + [+,+]), ZNF649 (0.98, + [+,+]), ZNF205 (0.85, + [+,+]), ZNF823 (0.81, - [+,-]), ZNF354C (0.73, - [+,-]), 
UTRN	chr4	48072371	chr4	48152580	48153081	0.7002	ZNF766 (1.00, + [+,+]), ZNF182 (1.00, + [+,+]), CPEB1 (0.92, + [+,+]), ZNF649 (0.90, + [+,+]), ZNF354C (0.83, + [+,+]), 
SAMD5	chr4	53404079	chr4	53404065	53404566	0.9398	ZNF860 (0.98, + [+,+]), ZNF263 (0.85, - [+,-]), 
SAMD5	chr4	53404079	chr4	53739667	53740168	0.8272	TBPL2 (0.97, + [+,+]), ARID3A (0.78, - [+,-]), 
SASH1	chr4	54197210	chr4	54444183	54444684	0.947	GTF2I (0.99, - [+,-]), ZNF37A (0.73, + [+,+]), 
TIAM2	chr4	61390109	chr4	61428128	61428629	0.7394	CPEB1 (1.00, + [+,+]), ZNF182 (1.00, + [+,+]), ZNF205 (0.94, + [+,+]), 
TIAM2	chr4	61390109	chr4	61544731	61545232	0.9048	ZNF180 (1.00, - [+,-]), ZNF398 (0.95, + [+,+]), ZNF557 (0.94, - [+,-]), LYL1 (0.93, + [+,+]), PRDM9 (0.90, - [+,-]), ZNF22 (0.81, - [+,-]), ZNF341 (0.79, - [+,-]), ZNF169 (0.77, - [+,-]), ZNF846 (0.75, - [+,-]), 
COL21A1	chr4	113379244	chr4	113316294	113316795	0.9998	ZNF169 (1.00, + [+,+]), ZNF354C (1.00, - [+,-]), ZNF557 (1.00, - [+,-]), VEZF1 (1.00, + [+,+]), ZNF846 (1.00, - [+,-]), ZNF770 (0.99, + [+,+]), ZNF530 (0.99, - [+,-]), ZNF202 (0.99, + [+,+]), ZNF394 (0.95, - [+,-]), PRDM9 (0.86, - [+,-]), 
SLIT2	chr5	19220732	chr5	18345419	18345920	0.9164	IKZF2 (0.80, + [+,+]), ZNF169 (0.78, + [+,+]), ZNF84 (0.78, - [+,-]), LYL1 (0.71, - [+,-]), 
UCHL1	chr5	40423457	chr5	40706874	40707375	0.7768	STAT2 (0.89, - [+,-]), 
FAT4	chr5	123106483	chr5	123106416	123106917	0.9938	ZNF846 (0.99, - [+,-]), HOXC5 (0.77, - [+,-]), 
FSTL5	chr5	159717874	chr5	159738198	159738699	0.977	ZNF557 (0.89, - [-,+]), TBPL2 (0.88, - [-,+]), ZFP28 (0.81, + [-,-]), ZNF22 (0.76, + [-,-]), 
DNAH5	chr6	14188421	chr6	14044143	14044644	0.883	ZNF557 (0.98, + [+,+]), ZNF169 (0.87, + [+,+]), ZKSCAN2 (0.83, + [+,+]), 
DNAH5	chr6	14188421	chr6	14208192	14208693	0.8356	IRX6 (0.94, + [+,+]), BCL11A (0.75, + [+,+]), STAT2 (0.71, - [+,-]), 
HMGCS1	chr6	43307134	chr6	43122829	43123330	0.7378	ZNF444 (0.94, + [+,+]), ZNF467 (0.92, - [+,-]), ZNF557 (0.92, - [+,-]), ZNF197 (0.91, - [+,-]), PRDM6 (0.87, + [+,+]), ZNF613 (0.87, - [+,-]), ZNF530 (0.86, - [+,-]), VEZF1 (0.83, + [+,+]), ZNF770 (0.72, + [+,+]), 
CRHBP	chr6	73786585	chr6	73793628	73794129	0.897	ZNF766 (0.96, - [-,+]), 
NREP	chr6	109167783	chr6	109528684	109529185	0.7004	ZNF169 (1.00, - [-,+]), ZNF354C (0.96, - [-,+]), 
TXNDC15	chr6	132337155	chr6	132064466	132064967	0.8426	ZNF805 (1.00, - [+,-]), ZNF341 (1.00, - [+,-]), ZNF384 (1.00, - [+,-]), ZNF823 (1.00, + [+,+]), RREB1 (1.00, + [+,+]), PRDM6 (0.92, - [+,-]), SMAD1 (0.89, + [+,+]), ZFP28 (0.77, - [+,-]), ZNF649 (0.72, - [+,-]), 
TXNDC15	chr6	132337155	chr6	132337958	132338459	0.765	ZNF180 (1.00, + [-,-]), ZNF530 (0.86, + [-,-]), ZNF169 (0.79, + [-,-]), MAZ (0.78, - [-,+]), 
SLIT3	chr6	166702470	chr6	166509938	166510439	0.922	ZNF846 (1.00, - [+,-]), ARID3A (1.00, - [+,-]), VEZF1 (1.00, + [+,+]), ZNF557 (0.97, - [+,-]), 
CHRNA7	chr7	6267779	chr7	6085667	6086168	0.8862	ZNF84 (0.94, + [+,+]), VEZF1 (0.92, + [+,+]), ZNF263 (0.92, + [+,+]), ZNF71 (0.83, + [+,+]), ZNF124 (0.71, + [+,+]), 
GLDN	chr7	27717903	chr7	27517381	27517882	0.982	ZNF202 (1.00, + [+,+]), ZNF766 (0.99, + [+,+]), ARID3A (0.98, - [+,-]), ZNF169 (0.91, + [+,+]), ZNF22 (0.89, + [+,+]), IRF2 (0.89, + [+,+]), PRDM6 (0.78, - [+,-]), ZNF596 (0.71, + [+,+]), 
COX5A	chr7	51983903	chr7	52001554	52002055	0.7266	ZNF467 (0.77, - [-,+]), 
ADAMTSL3	chr7	62040577	chr7	61699578	61700079	0.7442	ZNF354C (0.94, + [-,-]), 
PPP1R3E	chr7	85345305	chr7	85327128	85327629	0.9544	ZNF805 (1.00, + [-,-]), ZNF132 (1.00, + [-,-]), ZNF384 (1.00, + [-,-]), HLX (1.00, + [-,-]), ZNF613 (0.84, + [-,-]), 
ARMH4	chr7	120245911	chr7	120244868	120245369	0.9982	ZNF132 (0.98, + [+,+]), ZNF180 (0.84, + [+,+]), ZNF202 (0.82, + [+,+]), VEZF1 (0.79, + [+,+]), PRDM9 (0.71, - [+,-]), 
RGS6	chr7	134077187	chr7	134044620	134045121	0.8308	ZNF37A (1.00, + [+,+]), HOXC5 (0.97, - [+,-]), GTF2I (0.92, - [+,-]), MAZ (0.90, + [+,+]), ZNF805 (0.82, - [+,-]), ZNF649 (0.76, + [+,+]), SALL2 (0.70, + [+,+]), 
VRK1	chr7	158990355	chr7	159235979	159236480	0.9028	ZNF557 (0.91, - [+,-]), 
ADRA1A	chr8	27137159	chr8	27137075	27137576	0.9994	ZNF805 (0.99, - [+,-]), ZNF77 (0.88, - [+,-]), ZNF384 (0.83, + [+,+]), ZNF613 (0.81, + [+,+]), ZNF22 (0.74, + [+,+]), 
KIF13B	chr8	29534466	chr8	29441266	29441767	0.9052	ZNF124 (1.00, + [+,+]), IKZF2 (0.98, + [+,+]), ZNF649 (0.95, - [+,-]), FOXI3 (0.93, + [+,+]), ZNF169 (0.91, - [+,-]), ARID3A (0.85, - [+,-]), 
KHDRBS3	chr8	135723185	chr8	135929311	135929812	0.8056	ZNF768 (0.99, - [+,-]), ZNF354C (0.94, - [+,-]), TCF12 (0.90, + [+,+]), 
