Gene_symbol	Gene_chr	Gene_TSS	Peak_chr	Peak_start	Peak_end	Peak_Gene_Prob	TFs(prob, activator_repressor [L,B])
STAT3	chr16	53524629	chr16	53437464	53437965	0.7455	ZNF846 (1.00, - [+,-]), ZNF22 (0.99, + [+,+]), VEZF1 (0.99, + [+,+]), ZFX (0.91, + [+,+]), ZNF613 (0.86, - [+,-]), ZNF484 (0.81, - [+,-]), ZSCAN22 (0.76, + [+,+]), ZNF341 (0.73, - [+,-]), 
GFAP	chr16	56180003	chr16	56170476	56170977	0.9665	MAZ (1.00, + [+,+]), ZNF444 (1.00, + [+,+]), ZNF557 (0.98, + [+,+]), VEZF1 (0.98, + [+,+]), ZNF202 (0.92, + [+,+]), ZNF571 (0.92, + [+,+]), ZNF658 (0.92, + [+,+]), ZNF71 (0.90, + [+,+]), SALL4 (0.86, + [+,+]), SALL2 (0.82, + [+,+]), KLF10 (0.81, + [+,+]), ZNF181 (0.80, - [+,-]), ZNF823 (0.72, + [+,+]), ZNF484 (0.72, - [+,-]), ZNF182 (0.70, - [+,-]), 
GFAP	chr16	56180003	chr16	56171061	56171562	0.8215	ARID3A (0.99, - [+,-]), ZNF596 (0.96, - [+,-]), ZNF557 (0.93, + [+,+]), STAT2 (0.85, + [+,+]), 
TMEM235	chr16	74601378	chr16	74556146	74556647	0.8315	ZNF189 (0.94, - [+,-]), ZNF467 (0.88, + [+,+]), ZNF202 (0.83, + [+,+]), ZNF169 (0.76, + [+,+]), MZF1 (0.72, - [+,-]), 
DOCK9	chr17	80822362	chr17	80692449	80692950	0.8195	ZNF205 (1.00, - [-,+]), ZNF202 (0.98, - [-,+]), ZNF341 (0.98, - [-,+]), ZNF774 (0.98, - [-,+]), PRDM9 (0.98, - [-,+]), RBAK (0.96, - [-,+]), ZNF169 (0.90, - [-,+]), ZNF71 (0.89, - [-,+]), ZNF557 (0.88, - [-,+]), ETS2 (0.74, + [-,-]), ZNF596 (0.72, + [-,-]), 
BSG	chr19	331522	chr19	499133	499634	0.8695	ZNF436 (0.99, + [+,+]), ZSCAN30 (0.95, - [+,-]), RREB1 (0.89, + [+,+]), ZNF304 (0.83, + [+,+]), ZNF566 (0.82, + [+,+]), 
TUBB4A	chr19	6435920	chr19	6396414	6396915	0.796	ZNF281 (0.82, + [+,+]), ZNF467 (0.73, + [+,+]), ZNF71 (0.71, + [+,+]), 
TMEM205	chr19	11103382	chr19	11049361	11049862	0.8855	ZNF613 (1.00, - [+,-]), ZNF770 (0.98, + [+,+]), ZNF71 (0.93, + [+,+]), ZNF84 (0.87, + [+,+]), ZNF182 (0.77, + [+,+]), 
NFIX	chr19	12563424	chr19	12800894	12801395	0.809	ZIC2 (1.00, + [-,-]), MZF1 (1.00, + [-,-]), ZNF441 (1.00, - [-,+]), ZNF281 (0.99, + [-,-]), KLF2 (0.99, + [-,-]), ZNF71 (0.99, - [-,+]), SALL2 (0.98, - [-,+]), ZBTB17 (0.96, + [-,-]), PRDM6 (0.95, - [-,+]), ZNF596 (0.94, + [-,-]), TBPL2 (0.93, + [-,-]), ZNF467 (0.93, - [-,+]), ETS2 (0.90, - [-,+]), SALL4 (0.89, - [-,+]), ZFP28 (0.87, - [-,+]), ZNF182 (0.85, - [-,+]), ZNF557 (0.85, - [-,+]), ZSCAN22 (0.76, - [-,+]), ZNF774 (0.75, - [-,+]), ZNF341 (0.75, + [-,-]), ZNF202 (0.75, - [-,+]), ZNF304 (0.74, - [-,+]), STAT2 (0.70, - [-,+]), 
TECR	chr19	14153802	chr19	13987275	13987776	0.8245	ZNF180 (1.00, - [+,-]), WT1 (1.00, + [+,+]), ZNF77 (1.00, + [+,+]), ZNF649 (1.00, + [+,+]), ZFP57 (1.00, + [+,+]), KLF5 (1.00, + [+,+]), VEZF1 (1.00, + [+,+]), ZNF658 (0.99, - [+,-]), SALL4 (0.98, + [+,+]), RREB1 (0.96, + [+,+]), MAZ (0.96, + [+,+]), ZNF71 (0.95, + [+,+]), ZNF181 (0.92, + [+,+]), ZNF846 (0.91, - [+,-]), KLF9 (0.90, + [+,+]), ETS2 (0.88, + [+,+]), KLF10 (0.86, + [+,+]), ZNF566 (0.81, - [+,-]), SALL2 (0.80, + [+,+]), 
LOC721315	chr19	21164761	chr19	21022319	21022820	0.7725	CTCF (1.00, - [+,-]), ZNF441 (0.98, + [+,+]), ZNF341 (0.98, - [+,-]), ZNF384 (0.96, - [+,-]), STAT2 (0.92, + [+,+]), IRF2 (0.90, + [+,+]), ZNF613 (0.82, - [+,-]), ZNF180 (0.80, + [+,+]), ZNF202 (0.80, + [+,+]), ZNF169 (0.74, + [+,+]), 
RABAC1	chr19	41102642	chr19	41142888	41143389	0.702	ZNF527 (0.99, + [+,+]), ZNF557 (0.97, + [+,+]), PRDM6 (0.95, + [+,+]), GTF2I (0.94, - [+,-]), ZNF596 (0.89, - [+,-]), RBAK (0.86, + [+,+]), ZNF823 (0.72, + [+,+]), ZNF219 (0.71, - [+,-]), KLF11 (0.70, - [+,-]), 
RPL18	chr19	48611517	chr19	48560184	48560685	0.9035	ZNF22 (1.00, + [+,+]), SALL4 (1.00, + [+,+]), ZNF658 (0.99, - [+,-]), ZNF571 (0.90, + [+,+]), ZNF181 (0.82, + [+,+]), CPEB1 (0.78, - [+,-]), 
BCL6	chr2	10078330	chr2	9886560	9887061	0.906	ZNF484 (0.96, - [+,-]), 
ARPP21	chr2	12112162	chr2	12019989	12020490	0.9815	TCF12 (0.99, + [+,+]), ZNF205 (0.88, - [+,-]), ZNF169 (0.82, - [+,-]), ZNF354C (0.81, - [+,-]), 
PLCL2	chr2	30840561	chr2	30640421	30640922	0.9555	HDX (0.97, - [+,-]), 
GPR149	chr2	56713997	chr2	56712911	56713412	1	ZNF786 (0.89, + [+,+]), ZNF205 (0.72, - [+,-]), 
NEK4	chr2	108950451	chr2	108994429	108994930	0.911	KLF2 (0.98, + [+,+]), ZNF283 (0.98, + [+,+]), ZNF304 (0.98, + [+,+]), MAZ (0.87, - [+,-]), LYL1 (0.87, + [+,+]), SALL2 (0.81, - [+,-]), MZF1 (0.73, - [+,-]), 
SPCS1	chr2	108873777	chr2	108994429	108994930	0.712	KLF2 (0.98, - [-,+]), ZNF283 (0.98, - [-,+]), ZNF304 (0.98, - [-,+]), MAZ (0.87, + [-,-]), LYL1 (0.87, - [-,+]), SALL2 (0.81, + [-,-]), MZF1 (0.73, + [-,-]), 
CACNA1D	chr2	109674748	chr2	109786488	109786989	0.905	MZF1 (1.00, - [+,-]), PRDM9 (1.00, - [+,-]), SALL4 (0.99, + [+,+]), RREB1 (0.95, + [+,+]), ZNF774 (0.94, - [+,-]), ZBTB17 (0.89, - [+,-]), GTF2I (0.88, - [+,-]), RBAK (0.85, + [+,+]), ZNF766 (0.84, + [+,+]), ZNF467 (0.71, + [+,+]), 
CACNA1D	chr2	109674748	chr2	109831794	109832295	0.986	ARID3A (1.00, + [+,+]), 
CACNA1D	chr2	109674748	chr2	109863240	109863741	0.954	ZNF613 (1.00, - [+,-]), ZNF384 (1.00, - [+,-]), ZNF354C (0.97, - [+,-]), ZNF22 (0.93, + [+,+]), ZNF444 (0.71, + [+,+]), 
ERC2	chr2	112643690	chr2	112560137	112560638	0.9895	ZNF202 (0.99, + [+,+]), ZNF649 (0.90, + [+,+]), ZNF22 (0.86, - [+,-]), ZNF823 (0.72, + [+,+]), 
ITPR1	chr2	135800564	chr2	135881590	135882091	0.9335	RBAK (0.99, + [+,+]), ARID3A (0.95, + [+,+]), ZIC2 (0.91, + [+,+]), 
ITPR1	chr2	135800564	chr2	135927632	135928133	0.941	ZNF823 (1.00, + [+,+]), ZNF467 (0.99, + [+,+]), RBAK (0.93, + [+,+]), ZNF180 (0.82, + [+,+]), ZNF527 (0.79, + [+,+]), 
MYLK	chr2	152480874	chr2	152426936	152427437	1	KLF7 (1.00, - [+,-]), KLF1 (1.00, + [+,+]), ZNF283 (1.00, + [+,+]), ZBTB17 (0.99, + [+,+]), ZNF846 (0.97, + [+,+]), KLF10 (0.95, + [+,+]), ZNF189 (0.88, + [+,+]), VEZF1 (0.86, - [+,-]), KLF4 (0.85, + [+,+]), ZNF467 (0.85, + [+,+]), KLF5 (0.84, + [+,+]), WT1 (0.84, - [+,-]), KLF15 (0.81, + [+,+]), PRDM9 (0.81, - [+,-]), KLF16 (0.79, + [+,+]), ZNF180 (0.76, + [+,+]), 
MYLK	chr2	152480874	chr2	152428437	152428938	0.979	ZNF22 (1.00, - [+,-]), ZNF169 (0.96, + [+,+]), SALL2 (0.92, - [+,-]), ZNF786 (0.72, - [+,-]), 
MYLK	chr2	152480874	chr2	152450900	152451401	0.9775	ZNF22 (1.00, - [+,-]), ETS2 (1.00, + [+,+]), 
MYLK	chr2	152480874	chr2	152451590	152452091	0.9915	ZFP28 (0.89, + [+,+]), 
MYLK	chr2	152480874	chr2	152539946	152540447	0.99	ZNF22 (1.00, - [+,-]), ZNF613 (0.97, + [+,+]), ZIC2 (0.85, - [+,-]), CPEB1 (0.82, + [+,+]), 
LSAMP	chr2	159826885	chr2	160126169	160126670	0.994	ZNF169 (0.71, - [+,-]), 
NDE1	chr20	15230642	chr20	15185727	15186228	0.7435	ZNF768 (0.91, - [-,+]), ZNF823 (0.87, - [-,+]), ZNF354C (0.84, - [-,+]), 
USP31	chr20	21466161	chr20	21450120	21450621	0.977	ZNF384 (1.00, - [+,-]), ZNF774 (0.98, - [+,-]), ZNF354C (0.98, - [+,-]), PRDM9 (0.98, - [+,-]), PRDM6 (0.86, - [+,-]), ZNF182 (0.80, - [+,-]), KLF5 (0.77, - [+,-]), KLF1 (0.77, - [+,-]), VEZF1 (0.77, + [+,+]), 
SLC5A11	chr20	23203366	chr20	23195827	23196328	1	ZNF121 (0.89, - [+,-]), ZNF169 (0.83, + [+,+]), ZNF22 (0.82, - [+,-]), 
SLC5A11	chr20	23203366	chr20	23210802	23211303	0.9345	ZNF132 (0.99, - [+,-]), ZBTB17 (0.95, - [+,-]), ZNF398 (0.89, - [+,-]), ZNF219 (0.76, - [+,-]), 
HS3ST4	chr20	24034498	chr20	23675491	23675992	0.7065	VEZF1 (0.87, + [+,+]), ZNF124 (0.72, - [+,-]), ZNF527 (0.71, + [+,+]), 
MT2A	chr20	43815641	chr20	43620681	43621182	0.8285	ZNF180 (1.00, - [+,-]), ZNF341 (0.94, + [+,+]), MZF1 (0.91, - [+,-]), ZNF566 (0.86, + [+,+]), ZNF770 (0.75, + [+,+]), ZNF169 (0.71, - [+,-]), 
COX4I1	chr20	72828000	chr20	72880867	72881368	0.798	ZNF22 (0.99, + [+,+]), 
RPL13	chr20	76602689	chr20	76544254	76544755	0.977	GTF2I (0.94, - [+,-]), ETS2 (0.92, + [+,+]), 
S100B	chr3	186749	chr3	379382	379883	0.744	ZNF384 (1.00, - [+,-]), ZNF22 (0.95, - [+,-]), ZFP28 (0.95, + [+,+]), PRDM6 (0.93, + [+,+]), ZNF774 (0.87, + [+,+]), ZNF571 (0.78, + [+,+]), 
CSTB	chr3	2943534	chr3	2675852	2676353	0.7165	ZNF786 (0.98, + [+,+]), ARID3A (0.82, + [+,+]), ZNF467 (0.75, + [+,+]), 
CSTB	chr3	2943534	chr3	2900310	2900811	0.9005	NFE2L1 (0.98, + [+,+]), FOSL2 (0.95, + [+,+]), FOS (0.86, + [+,+]), ZNF557 (0.84, + [+,+]), ZNF124 (0.81, + [+,+]), ZNF169 (0.71, + [+,+]), 
HLCS	chr3	9619316	chr3	9551631	9552132	0.7135	ZNF766 (0.93, + [+,+]), FOSL2 (0.90, + [+,+]), ZNF205 (0.84, + [+,+]), 
IFNAR2	chr3	13288642	chr3	13352675	13353176	0.763	ZNF169 (0.75, - [+,-]), 
IFNAR2	chr3	13288642	chr3	13353355	13353856	0.763	ZNF71 (0.99, + [+,+]), SALL2 (0.97, + [+,+]), 
MRPL39	chr3	21060832	chr3	21060528	21061029	0.765	ZNF444 (0.81, - [-,+]), ZNF202 (0.78, - [-,+]), ZNF571 (0.77, - [-,+]), VEZF1 (0.76, + [-,-]), 
LOC106997317	chr3	31301618	chr3	31288816	31289317	0.813	ZNF596 (0.76, + [-,-]), 
NRIP1	chr3	31803530	chr3	31288816	31289317	0.733	ZNF596 (0.76, - [+,-]), 
LOC106997317	chr3	31301618	chr3	31577929	31578430	0.825	ZNF766 (0.73, - [-,+]), 
ADAP1	chr3	34029626	chr3	34071736	34072237	0.7625	ZNF774 (0.96, - [+,-]), ZNF202 (0.93, - [+,-]), ZNF354C (0.90, - [+,-]), ARID3A (0.82, - [+,-]), ZNF571 (0.79, - [+,-]), 
TSC22D4	chr3	42552893	chr3	42624355	42624856	0.833	ZNF823 (1.00, + [+,+]), ZNF354C (0.98, - [+,-]), ZNF169 (0.93, - [+,-]), 
