Peak_Coordinates	BCL11A	CTCF	CTCFL	DNMT1	ETS2	GTF2I	GTF3A	IRF2	KLF1	KLF10	KLF11	KLF13	KLF15	KLF16	KLF2	KLF4	KLF5	KLF7	KLF9	LYL1	MAZ	MZF1	PATZ1	PRDM6	RBAK	RREB1	SALL2	SALL4	SP1	SP2	SP4	SP5	SP7	SP8	SP9	STAT2	TAL1	TCF12	VEZF1	WT1	ZBTB17	ZBTB7A	ZBTB7C	ZFP14	ZFP28	ZFP57	ZFP64	ZFP69B	ZFX	ZFY	ZNF121	ZNF124	ZNF132	ZNF169	ZNF180	ZNF181	ZNF182	ZNF189	ZNF202	ZNF205	ZNF219	ZNF23	ZNF263	ZNF267	ZNF281	ZNF283	ZNF30	ZNF304	ZNF311	ZNF341	ZNF354C	ZNF37A	ZNF384	ZNF394	ZNF398	ZNF436	ZNF441	ZNF444	ZNF467	ZNF484	ZNF513	ZNF527	ZNF530	ZNF543	ZNF548	ZNF557	ZNF566	ZNF571	ZNF596	ZNF613	ZNF658	ZNF682	ZNF71	ZNF766	ZNF77	ZNF770	ZNF774	ZNF776	ZNF786	ZNF823	ZNF84	ZNF846	ZNF860	ZSCAN22	ZSCAN30
chr1_69077153_69077654	0	0	0	0	0	0	0	0	0.431	0.4955	0	0.206	0.473	0.8015	0	0.31	0.2655	0.6615	0.387	0	0.6215	0	0	0	0.3735	0	0	0	0.61	0.4405	0.1355	0	0.4335	0.4775	0.2775	0	0	0.539	0.185	0.31	0.337	0.5415	0	0.503	0	0	0	0	0	0.6645	0	0	0.18	0.6585	0.4535	0	0	0	0.3595	0	0.3275	0	0.3125	0	0.3175	0.216	0.4525	0.185	0.536	0.436	0	0	0	0	0	0	0.669	0.21	0.171	0	0	0	0.6345	0.368	0	0	0.297	0.512	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3525	0	0	0
chr1_69110881_69111382	0	0	0	0	0	0.2175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.533	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_74221260_74221761	0	0	0	0	0.136	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4115	0	0	0	0	0	0	0	0	0	0	0	0.318	0	0	0	0	0	0	0	0	0.7995	0	0	0	0	0	0	0	0	0.378	0	0	0.791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8095	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_94385310_94385811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3235	0	0	0.8485	0.3755	0.2065	0	0	0	0	0	0	0	0	0	0	0	0.706	0	0	0	0.2795	0	0	0	0	0	0	0	0	0.135	0	0	0	0	0	0	0	0	0	0.253	0.736	0.2295	0	0	0	0	0.2	0	0	0	0.566	0	0	0	0	0	0	0	0.533
chr1_99377655_99378156	0	0.993	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.213	0	0	0	0	0	0.2755	0	0	0	1	0	0	0.691	0	0	0	0	0.625	0.214	0	0	0.8865	0	0	0	0	0.9825	0	0.9825	0	0.4825	0	0	0	0	0	0	0.9945	0	0	0	0.3585	0	0.987	0.158	0	0	0	0	0	0	0	0	0	0	0.1885	0	0.327	0	0	0	0	0	0
chr1_99566923_99567424	0	0.9965	0.686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2965	0	0	0	0	0	0.7575	0	0	0	0	0
chr1_100515037_100515538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.668	0	0	0	0	0	0.563	0	0	0	0	0	0	0	0	0	0	0.7395	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.647	0	0	0	0	0	0	0	0	0	0	0.9915	0	0	0	0	0	0	0	0
chr1_100897044_100897545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7085	0	0	0	0	0	0	0.9515	0	0	0	0	0	0	0	0.8845	0	0	0	0	0	0	0.9515	0	0	0	0	0.9975	0.2395	0	0	0.9395	0	0.992	0	0	0.1595	0	0	0	0.9845	0	0	0	0.758	0	0	0	0	0	0	0	0	0	0	0.2455	0.9845	0	0.891	0	0	0.891	0	0	0	0	0
chr1_104673470_104673971	0	0	0	0	0.996	0	0	0	0	0	0	0	0	0	0.968	0	0	0	0	0	0	0	0.844	0	0.993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8945	0.761	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2275	0	0	0	0.172	0.2225	0	0.184	0.9995	0	0.459	0	0.996	0	0	0.571	0	0	0	0	0.9505	0.241	0	0.9965	0.9965	0	0	0	0	0.7335	0	0.2775	0	0	0	0	0.877	0	0	0	0	0	0	0	0	0	0	0.1545	0	0	0
chr1_127899338_127899839	0	0.986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9095	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5095	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.985	0	0	0	0	0	0	0	0.3625	0	0	0.248	0	0	0	0	0	0	0	0
chr1_135468016_135468517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_139120425_139120926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.613	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.8805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_148005913_148006414	0.9755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.684	0.5785	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7095	0	0.705	0	0	0.7625	0	0	0	0	0
chr1_164765758_164766259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_167083776_167084277	0.1325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.581	0	0.4775	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8705	0	0	0	0	0.997	0	0	0	0	0	0	0.982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.911	0	0	0	0
chr1_167255109_167255610	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6765	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1565	0	0	0.419	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_170189349_170189850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.92	0	0	0	0	0	0	0	0	0	0	0	0	0.1125	0	0	0	0	0	0
chr1_173502323_173502824	0	0	0	0	0	0	0	0	0.1695	0.174	0	0.826	0.685	0.509	0	0.3185	0.8895	0.6735	0.7245	0	0	0	0	0	0	0	0	0	0.4725	0.5845	0.6145	0	0	0.267	0.8225	0	0	0	0.2945	0.492	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7735	0.672	0	0	0	0.4565	0	0	0	0.796	0	0	0.498	0	0	0	0	0	0	0	0	0	0	0.217	0	0	0	0	0	0	0	0.118	0	0	0.1985	0.736	0	0	0	0	0.2625	0	0	0	0	0	0.243	0	0.256	0	0	0
chr1_173501383_173501884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5885	0	0	0	0.334	0	0	0.1705	0	0.87	0	0	0	0	0	0.7285	0	0	0	0	0	0	0	0	0	0	0	0.312	0	0	0.4805	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.548	0	0	0	0.8755	0.9435	0	0	0.5615	0	0	0.808	0	0	0.69	0	0.7085	0
chr1_173500785_173501286	0	0	0	0	0.5605	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.906	0.959	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.147	0	0.555	0	0	0	0	0	0	0	0	0	0
chr1_179100285_179100786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.442	0	0	0	0	0	0	0	0.35	0	0.887	0	0	0	0	0	0	0	0	0	0	0	0	0	0.294	0	0	0	0.8345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.325	0	0	0	0	0	0	0	0	0	0	0	0	0.621	0.402	0	0	0.5025	0	0	0
chr1_182221740_182222241	0	0.2115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.813	0	0	0	0	0.723	0	0	0	0	0	0	0.4315	0	0	0	0	0	0.58	0.4275	0	0.568	0	0	0	0.5895	0	0	0.1455	0.138	0	0	0	0	0	0	0	0	0.565	0	0	0	0	0.5075	0.363	0.3275	0.421	0.2345	0.5315	0.5015	0	0.5445	0	0.7405	0	0	0	0.632	0.1975	0	0	0	0	0	0.3415	0.527	0.7255	0.87	0	0	0	0	0	0	0	0	0	0	0	0	0	0.444	0	0.167	0
chr1_182888054_182888555	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197	0	0.997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.405	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2475	0	0	0	0.911	0.743	0	0	0	0	0	0	0.887	0	0	0	0	0	0	0	0	0	0	0.913	0	0	0	0	0.3705	0.9995	0	0
chr1_183049187_183049688	0	0	0	0	0	0	0	0	0.474	0.4505	0	0	0	0	0	0	0.843	0.2005	0	0	0	0.586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4465	0.178	0	0	0	0	0	0	0	0	0	0	0	0	0.7265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1745	0	0	0	0	0	0.521	0	0	0.3175	0	0.257	0	0.311	0	0	0	0	0	0
chr1_184209189_184209690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3205	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7435	0.44	0	0	0	0	0
chr1_184240799_184241300	0	0.532	0.5425	0	0	0.6285	0	0	0.178	0.7605	0.602	0	0	0	0.6185	0	0	0	0	0	0	0	0	0	0.2225	0.2705	0.645	0	0	0	0	0	0	0	0	0	0	0	0.493	0.209	0.163	0	0	0	0	0	0.4505	0	0	0	0	0	0	0.2505	0.4195	0	0	0	0.618	0	0.6885	0	0.6895	0	0.233	0	0	0	0	0.16	0	0.4945	0	0	0	0	0	0.3065	0.438	0.309	0	0	0.302	0	0	0	0	0	0	0	0	0	0.3665	0	0	0.271	0.736	0	0	0	0	0.2705	0	0.498	0
chr1_198995613_198996114	0	0	0	0	0	0	0	0	0.3105	0	0	0	0	0	0	0	0.3695	0	0	0	0.5985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.566	0	0	0	0	0	0	0	0	0.7345	0	0	0	0	0	0.386	0.2245	0	0	0.6885	0	0	0	0	0	0.779	0	0.4155	0	0.7435	0	0	0.7905	0	0	0	0.5915	0.1665	0	0	0.349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.522	0	0	0	0	0	0	0	0	0
chr1_199069054_199069555	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.4885	0	0	0.7105	0.572	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.4555	0.205	0.618	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.97	0	0	0	0	0	0	0.2345	0	0	0	0	0	0	0.9995	0	0	0	0	0	0	0	0	0	0.836	0.5265	0	0	0	0	0	0.53	0	0
chr1_199139032_199139533	0	0	0	0	0	0.999	0	0	0	0	0	0.3095	0.491	0	0	0	0	0	0	0	0	0.7655	0	0	0	0	0	0	0.999	0	1	1	0	0.742	0.963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9675	0	0	0	0	0	0.173	0	0	0	0	0	0	0	0	0	0	0.9965	0.4555	0	0	0	0	0	0	0	0	0	0	0	0	0.958	0.2475	0	0	0	0	0.926	0	0	0	0	0	0.7595	0	0.207	0	0	0.9195	0	0	0
chr1_199153664_199154165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4975	0	0	0.9935	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.363	0.9985	0	0	0	0	0	0	0	0	0	0	0	0.963	0	0	0	0	0	0
chr1_199163005_199163506	0	0	0	0	0	0.95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.999	0	0	0	0	0	0	0	0	0.9585	0.8355	0.7295	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6695	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8475	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2595	0
chr1_199247540_199248041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.453	0	0	0	0	0	0	0	0	0	0	0.3695	1	0	0	0	0	0	0.4935	0	0	0	0	0	0	0	0.2305	0	0	0	0	0.2375	0	0	0	0	0.4695	0	0	0	0.2525	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.9945	0	0	0	0	0	0	0	0	0	0	0.256	0	0	0	0	0	0	0	0.3435	0	0	1	0	0	0
chr1_201295392_201295893	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.573	0	0	0	0	0	0	0	0	0	0	0	0.4485	0	0	0	0	0.3305	0	0	0	0	0	0
chr1_207128603_207129104	0	0	0	0	0	0	0	0.846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.2355	0	0	0	0	0	0	0.8495	0	0	0	0	0	0	0	0.615	0	0	0	0.603	0	0	0	0	0.588	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8505	0	0	0	0	0	0	0	0.6025	0	0	0	0	0.413	0	0	0	0	0	0
chr1_207138937_207139438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8435	0	0	0	0.1345	1	0	0	0	0	0	0	0	0	0	0	0.1515	0	0	0	0	0	0	0	0	0	0	0	0	0.999	0.585	0.994	0	0.9855	0.986	0	0	0.5075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.95	0	0	0	0	0	0	0.999	0	0	0	0.276	0	0	0	0	0	0	0	0
chr1_207208250_207208751	0	0	0	0	0	0	0	0	0	0	0.8265	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3185	0.6545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6385	0	0	0	0	0	0	0	0.318	0	0	0	0	0	0	0	0	0	0	0	0.565	0	0	0	0	0	0
chr1_208891235_208891736	0	0	0	0	0	0	0	0	0.217	0.584	0	0	0.32	0.675	0	0.3245	0.583	0.2745	0	0	0	0	0	0	0	0	0	0.332	0	0	0	0	0	0	0	0	0	0	0	0	0.4345	0	0	0	0	0	0	0	0	0	0	0	0.7175	0	0.3475	0	0	0	0.508	0	0	0	0	0	0.388	0	0.5105	0	0	0.661	0	0	0	0	0	0.194	0	0	0	0	0	0	0	0	0	0.572	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_221839237_221839738	0	0	0	0	0	0	0	0.8395	0	0	0	0	0	0	0	0	0.2285	0	0	0	0	0	0	0.51	0	0	0	0	1	0	0	0	0	0	0	0.9995	0	0	0	0	0	0	0	0	0	0	0	0	0.9565	0.83	0	0	0	0.409	0.2955	0	0	0	0	0.7445	0	0	0.133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.99	0.832	0	0	0	0	0	0	0	0.2715	0	0	0.121	0	0	0	0	0.572	0	0	0
chr10_5960262_5960763	0	0	0	0	0	0	0	0	0.892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.369	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr10_10316365_10316866	0	0	0	0	0	0.645	0	0	0.287	0.5395	0	0.1925	0.5115	0.5175	0	0.6375	0.158	0.181	0.478	0	0.189	0	0	0	0	0	0	0	0.538	0.242	0.62	0.4325	0.571	0.636	0.4205	0	0	0	0.1715	0.246	0.8535	0	0	0	0	0.761	0	0	0	0	0	0	0.769	0	0.352	0	0	0	0.405	0	0.337	0.615	0.733	0	0	0	0.782	0.652	0	0	0	0.5135	0	0	0	0	0.2305	0	0.5225	0.779	0	0	0	0.3615	0	0	0	0.168	0	0	0.2415	0	0	0	0	0	0	0	0	0	0	0.708	0	0	0.1795
